2026-04-01 10:32:07 | speedlimit | Conf:0.76 | Action:set_speed | Speed:30
2026-04-01 10:32:08 | speedlimit | Conf:0.83 | Action:set_speed | Speed:30
2026-04-01 10:32:09 | speedlimit | Conf:0.84 | Action:set_speed | Speed:30
2026-04-01 10:32:10 | speedlimit | Conf:0.77 | Action:set_speed | Speed:30
2026-04-01 10:32:11 | speedlimit | Conf:0.82 | Action:set_speed | Speed:30
2026-04-01 10:32:14 | speedlimit | Conf:0.8 | Action:set_speed | Speed:30
2026-04-01 10:32:18 | slowdown | Conf:0.76 | Action:notify_only | Speed:None
2026-04-01 10:32:19 | workinprogress | Conf:0.79 | Action:reduce_speed | Speed:20
2026-04-01 10:32:20 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 10:32:21 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 10:32:22 | workinprogress | Conf:0.85 | Action:reduce_speed | Speed:20
2026-04-01 10:32:23 | workinprogress | Conf:0.85 | Action:reduce_speed | Speed:20
2026-04-01 10:32:24 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 10:32:25 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 10:32:26 | workinprogress | Conf:0.83 | Action:reduce_speed | Speed:20
2026-04-01 12:31:53 | slowdown | Conf:0.84 | Action:notify_only | Speed:None
2026-04-01 12:32:06 | slowdown | Conf:0.79 | Action:notify_only | Speed:None
2026-04-01 12:32:34 | slowdown | Conf:0.78 | Action:notify_only | Speed:None
2026-04-01 12:32:35 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-04-01 12:32:36 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:32:37 | workinprogress | Conf:0.72 | Action:reduce_speed | Speed:20
2026-04-01 12:32:44 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:32:45 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-04-01 12:32:46 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-04-01 12:32:47 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-04-01 12:32:48 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
